in.comstock_building_type_group,in.comstock_building_type,in.hvac_combined_type,weighted_sqft,total_tons,out.params.cdd50f_avg,out.params.cdd65f_avg,out.params.hdd50f_avg,out.params.hdd65f_avg,bin_distribution_json,clean_county,share_pct,cdd50f_rank,cdd65f_rank,hdd50f_rank,hdd65f_rank,county_context_json
Education,PrimarySchool,Central Multi-zone VAV RTU_Boiler _ACC,42192.372264691985,0.0,3061.0203429722737,940.7981757097004,3222.5013278021925,6577.279160539619,"{""0-5"": 0.0, ""101-150"": 0.0, ""11-15"": 0.0, ""151-200"": 0.0, ""16-20"": 0.0, ""200+"": 0.0, ""21-30"": 0.0, ""31-50"": 0.0, ""51-75"": 0.0, ""6-10"": 0.0, ""76-100"": 0.0}",Livingston,0.0,28.0,28.0,32.0,32.0,"{""Central Multi-zone VAV RTU_Boiler _ACC"": 0.0, ""Central Multi-zone VAV RTU_Boiler _DX"": 2201.1401067556694, ""Central Multi-zone VAV RTU_Boiler _WCC"": 0.0, ""Central Single-zone RTU_Boiler _DX"": 1369.3315712250978, ""DOAS+Zone terminal equipment_Boiler _ACC"": 0.0, ""DOAS+Zone terminal equipment_GSHP_GSHP"": 57.57123448013552}"
Education,PrimarySchool,Central Multi-zone VAV RTU_Boiler _DX,461108.6506614635,2201.1401067556694,3165.1245307223558,985.0030296679084,3145.0452650046036,6439.923763950156,"{""0-5"": 0.0, ""101-150"": 843.701938948363, ""11-15"": 0.0, ""151-200"": 732.469989638572, ""16-20"": 0.0, ""200+"": 562.0253664420825, ""21-30"": 0.0, ""31-50"": 0.0, ""51-75"": 62.942811726652, ""6-10"": 0.0, ""76-100"": 0.0}",Livingston,60.670178381728,28.0,28.0,32.0,32.0,"{""Central Multi-zone VAV RTU_Boiler _ACC"": 0.0, ""Central Multi-zone VAV RTU_Boiler _DX"": 2201.1401067556694, ""Central Multi-zone VAV RTU_Boiler _WCC"": 0.0, ""Central Single-zone RTU_Boiler _DX"": 1369.3315712250978, ""DOAS+Zone terminal equipment_Boiler _ACC"": 0.0, ""DOAS+Zone terminal equipment_GSHP_GSHP"": 57.57123448013552}"
Education,PrimarySchool,Central Multi-zone VAV RTU_Boiler _WCC,112384.52201304189,0.0,3219.9578467261786,1045.6934739583262,3186.7521674107265,6487.487794642874,"{""0-5"": 0.0, ""101-150"": 0.0, ""11-15"": 0.0, ""151-200"": 0.0, ""16-20"": 0.0, ""200+"": 0.0, ""21-30"": 0.0, ""31-50"": 0.0, ""51-75"": 0.0, ""6-10"": 0.0, ""76-100"": 0.0}",Livingston,0.0,28.0,28.0,32.0,32.0,"{""Central Multi-zone VAV RTU_Boiler _ACC"": 0.0, ""Central Multi-zone VAV RTU_Boiler _DX"": 2201.1401067556694, ""Central Multi-zone VAV RTU_Boiler _WCC"": 0.0, ""Central Single-zone RTU_Boiler _DX"": 1369.3315712250978, ""DOAS+Zone terminal equipment_Boiler _ACC"": 0.0, ""DOAS+Zone terminal equipment_GSHP_GSHP"": 57.57123448013552}"
Education,PrimarySchool,Central Single-zone RTU_Boiler _DX,285717.45408532734,1369.3315712250978,2930.5263688583345,839.0984850546522,3496.143926373425,6879.716042569743,"{""0-5"": 0.0, ""101-150"": 401.48018660144913, ""11-15"": 0.0, ""151-200"": 722.310461521201, ""16-20"": 0.0, ""200+"": 245.5409231024478, ""21-30"": 0.0, ""31-50"": 0.0, ""51-75"": 0.0, ""6-10"": 0.0, ""76-100"": 0.0}",Livingston,37.74298166435633,28.0,28.0,32.0,32.0,"{""Central Multi-zone VAV RTU_Boiler _ACC"": 0.0, ""Central Multi-zone VAV RTU_Boiler _DX"": 2201.1401067556694, ""Central Multi-zone VAV RTU_Boiler _WCC"": 0.0, ""Central Single-zone RTU_Boiler _DX"": 1369.3315712250978, ""DOAS+Zone terminal equipment_Boiler _ACC"": 0.0, ""DOAS+Zone terminal equipment_GSHP_GSHP"": 57.57123448013552}"
Education,PrimarySchool,DOAS+Zone terminal equipment_Boiler _ACC,151081.53473683208,0.0,3262.018237289105,1077.7854527815862,3166.24315611565,6457.010371608131,"{""0-5"": 0.0, ""101-150"": 0.0, ""11-15"": 0.0, ""151-200"": 0.0, ""16-20"": 0.0, ""200+"": 0.0, ""21-30"": 0.0, ""31-50"": 0.0, ""51-75"": 0.0, ""6-10"": 0.0, ""76-100"": 0.0}",Livingston,0.0,28.0,28.0,32.0,32.0,"{""Central Multi-zone VAV RTU_Boiler _ACC"": 0.0, ""Central Multi-zone VAV RTU_Boiler _DX"": 2201.1401067556694, ""Central Multi-zone VAV RTU_Boiler _WCC"": 0.0, ""Central Single-zone RTU_Boiler _DX"": 1369.3315712250978, ""DOAS+Zone terminal equipment_Boiler _ACC"": 0.0, ""DOAS+Zone terminal equipment_GSHP_GSHP"": 57.57123448013552}"
Education,PrimarySchool,DOAS+Zone terminal equipment_GSHP_GSHP,32112.20636286552,57.57123448013552,3343.976629464274,1132.5075937499926,3137.117158482155,6400.648122767873,"{""0-5"": 0.0, ""101-150"": 0.0, ""11-15"": 0.0, ""151-200"": 0.0, ""16-20"": 0.0, ""200+"": 0.0, ""21-30"": 0.0, ""31-50"": 0.0, ""51-75"": 57.57123448013552, ""6-10"": 0.0, ""76-100"": 0.0}",Livingston,1.5868399539156757,28.0,28.0,32.0,32.0,"{""Central Multi-zone VAV RTU_Boiler _ACC"": 0.0, ""Central Multi-zone VAV RTU_Boiler _DX"": 2201.1401067556694, ""Central Multi-zone VAV RTU_Boiler _WCC"": 0.0, ""Central Single-zone RTU_Boiler _DX"": 1369.3315712250978, ""DOAS+Zone terminal equipment_Boiler _ACC"": 0.0, ""DOAS+Zone terminal equipment_GSHP_GSHP"": 57.57123448013552}"
Education,SecondarySchool,Central Multi-zone VAV RTU_Boiler _ACC,35311.32002993179,0.0,3246.620049568795,1058.9601209077305,3267.539982294793,6554.880053633729,"{""0-5"": 0.0, ""101-150"": 0.0, ""11-15"": 0.0, ""151-200"": 0.0, ""16-20"": 0.0, ""200+"": 0.0, ""21-30"": 0.0, ""31-50"": 0.0, ""51-75"": 0.0, ""6-10"": 0.0, ""76-100"": 0.0}",Livingston,0.0,12.0,15.0,52.0,52.0,"{""Central Multi-zone VAV RTU_Boiler _ACC"": 0.0, ""Central Multi-zone VAV RTU_Furnace_DX"": 597.5305531954223, ""Central Single-zone RTU_Boiler _DX"": 1447.448507875116, ""Central Single-zone RTU_Furnace_DX"": 328.82572476777733, ""DOAS+Zone terminal equipment_Boiler _ACC"": 0.0, ""Zone terminal equipment_Boiler _DX"": 884.4480111587891}"
Education,SecondarySchool,Central Multi-zone VAV RTU_Furnace_DX,96633.66763394946,597.5305531954223,3128.822961153036,959.4665329553188,3172.568437532298,6478.21200933458,"{""0-5"": 0.0, ""101-150"": 0.0, ""11-15"": 0.0, ""151-200"": 180.26327892260431, ""16-20"": 0.0, ""200+"": 253.84667853428508, ""21-30"": 0.0, ""31-50"": 0.0, ""51-75"": 0.0, ""6-10"": 0.0, ""76-100"": 163.42059573853294}",Livingston,18.338986887270465,12.0,15.0,52.0,52.0,"{""Central Multi-zone VAV RTU_Boiler _ACC"": 0.0, ""Central Multi-zone VAV RTU_Furnace_DX"": 597.5305531954223, ""Central Single-zone RTU_Boiler _DX"": 1447.448507875116, ""Central Single-zone RTU_Furnace_DX"": 328.82572476777733, ""DOAS+Zone terminal equipment_Boiler _ACC"": 0.0, ""Zone terminal equipment_Boiler _DX"": 884.4480111587891}"
Education,SecondarySchool,Central Single-zone RTU_Boiler _DX,229805.38981074392,1447.448507875116,3138.2405174017813,979.5196508356155,3305.3404962777468,6621.61962971158,"{""0-5"": 0.0, ""101-150"": 514.0523810339248, ""11-15"": 0.0, ""151-200"": 0.0, ""16-20"": 0.0, ""200+"": 722.8121822678141, ""21-30"": 0.0, ""31-50"": 49.8687716721416, ""51-75"": 71.96998893967887, ""6-10"": 0.0, ""76-100"": 88.7451839615567}",Livingston,44.42407013995736,12.0,15.0,52.0,52.0,"{""Central Multi-zone VAV RTU_Boiler _ACC"": 0.0, ""Central Multi-zone VAV RTU_Furnace_DX"": 597.5305531954223, ""Central Single-zone RTU_Boiler _DX"": 1447.448507875116, ""Central Single-zone RTU_Furnace_DX"": 328.82572476777733, ""DOAS+Zone terminal equipment_Boiler _ACC"": 0.0, ""Zone terminal equipment_Boiler _DX"": 884.4480111587891}"
Education,SecondarySchool,Central Single-zone RTU_Furnace_DX,199065.1367797029,328.82572476777733,3173.478361614171,983.9846250953839,2971.396675666209,6256.902939147422,"{""0-5"": 0.0, ""101-150"": 0.0, ""11-15"": 0.0, ""151-200"": 0.0, ""16-20"": 0.0, ""200+"": 203.12272446809135, ""21-30"": 0.0, ""31-50"": 0.0, ""51-75"": 125.70300029968598, ""6-10"": 0.0, ""76-100"": 0.0}",Livingston,10.092087546762246,12.0,15.0,52.0,52.0,"{""Central Multi-zone VAV RTU_Boiler _ACC"": 0.0, ""Central Multi-zone VAV RTU_Furnace_DX"": 597.5305531954223, ""Central Single-zone RTU_Boiler _DX"": 1447.448507875116, ""Central Single-zone RTU_Furnace_DX"": 328.82572476777733, ""DOAS+Zone terminal equipment_Boiler _ACC"": 0.0, ""Zone terminal equipment_Boiler _DX"": 884.4480111587891}"
Education,SecondarySchool,DOAS+Zone terminal equipment_Boiler _ACC,49792.883571963815,0.0,3194.140751881992,1012.591793898802,3366.842984893489,6660.294026910299,"{""0-5"": 0.0, ""101-150"": 0.0, ""11-15"": 0.0, ""151-200"": 0.0, ""16-20"": 0.0, ""200+"": 0.0, ""21-30"": 0.0, ""31-50"": 0.0, ""51-75"": 0.0, ""6-10"": 0.0, ""76-100"": 0.0}",Livingston,0.0,12.0,15.0,52.0,52.0,"{""Central Multi-zone VAV RTU_Boiler _ACC"": 0.0, ""Central Multi-zone VAV RTU_Furnace_DX"": 597.5305531954223, ""Central Single-zone RTU_Boiler _DX"": 1447.448507875116, ""Central Single-zone RTU_Furnace_DX"": 328.82572476777733, ""DOAS+Zone terminal equipment_Boiler _ACC"": 0.0, ""Zone terminal equipment_Boiler _DX"": 884.4480111587891}"
Education,SecondarySchool,Zone terminal equipment_Boiler _DX,206671.6959300967,884.4480111587891,3178.0311261782567,969.7905403646964,3031.4147466268646,6298.174160813304,"{""0-5"": 0.0, ""101-150"": 0.0, ""11-15"": 0.0, ""151-200"": 368.4949575480998, ""16-20"": 0.0, ""200+"": 203.2016230270999, ""21-30"": 0.0, ""31-50"": 44.761482289712234, ""51-75"": 0.0, ""6-10"": 0.0, ""76-100"": 267.9899482938771}",Livingston,27.144855426009933,12.0,15.0,52.0,52.0,"{""Central Multi-zone VAV RTU_Boiler _ACC"": 0.0, ""Central Multi-zone VAV RTU_Furnace_DX"": 597.5305531954223, ""Central Single-zone RTU_Boiler _DX"": 1447.448507875116, ""Central Single-zone RTU_Furnace_DX"": 328.82572476777733, ""DOAS+Zone terminal equipment_Boiler _ACC"": 0.0, ""Zone terminal equipment_Boiler _DX"": 884.4480111587891}"
Food Sales,Grocery,Central Single-zone RTU_Electric Resistance_DX,31207.325872514764,632.621772564637,3208.104599823375,1049.238043123882,3290.425313515094,6606.558756815602,"{""0-5"": 0.0, ""101-150"": 0.0, ""11-15"": 0.0, ""151-200"": 0.0, ""16-20"": 0.0, ""200+"": 492.81553395260266, ""21-30"": 0.0, ""31-50"": 0.0, ""51-75"": 60.63451317916313, ""6-10"": 0.0, ""76-100"": 79.17172543287124}",Livingston,19.19876137391203,12.0,11.0,31.0,33.0,"{""Central Single-zone RTU_Electric Resistance_DX"": 632.621772564637, ""Central Single-zone RTU_Furnace_DX"": 2662.495866765295}"
Food Sales,Grocery,Central Single-zone RTU_Furnace_DX,143760.38872198426,2662.495866765295,3205.5322531657994,1040.022944706135,3282.6160630634213,6592.106754603757,"{""0-5"": 0.0, ""101-150"": 364.0258951690492, ""11-15"": 0.0, ""151-200"": 311.56191638634016, ""16-20"": 0.0, ""200+"": 1386.8595619493997, ""21-30"": 0.0, ""31-50"": 76.16576025857901, ""51-75"": 248.29985319930333, ""6-10"": 0.0, ""76-100"": 275.58287980262355}",Livingston,80.80123862608797,12.0,11.0,31.0,33.0,"{""Central Single-zone RTU_Electric Resistance_DX"": 632.621772564637, ""Central Single-zone RTU_Furnace_DX"": 2662.495866765295}"
Food Service,FullServiceRestaurant,Central Multi-zone VAV RTU_District_District,1935.2487512450064,0.0,3194.140751881992,1012.591793898802,3366.842984893489,6660.294026910299,"{""0-5"": 0.0, ""101-150"": 0.0, ""11-15"": 0.0, ""151-200"": 0.0, ""16-20"": 0.0, ""200+"": 0.0, ""21-30"": 0.0, ""31-50"": 0.0, ""51-75"": 0.0, ""6-10"": 0.0, ""76-100"": 0.0}",Livingston,0.0,33.0,34.0,29.0,30.0,"{""Central Multi-zone VAV RTU_District_District"": 0.0, ""Central Single-zone RTU_ASHP_ASHP"": 272.4926365035708, ""Central Single-zone RTU_Electric Resistance_DX"": 892.3078069702278, ""Central Single-zone RTU_Furnace_DX"": 4799.965631348052}"
Food Service,FullServiceRestaurant,Central Single-zone RTU_ASHP_ASHP,5120.025085607838,272.4926365035708,3169.7806397527247,999.0883275844454,3186.100007740579,6490.407695572299,"{""0-5"": 0.0, ""101-150"": 0.0, ""11-15"": 0.0, ""151-200"": 0.0, ""16-20"": 65.70712234343398, ""200+"": 0.0, ""21-30"": 0.0, ""31-50"": 153.49629404627285, ""51-75"": 53.28922011386394, ""6-10"": 0.0, ""76-100"": 0.0}",Livingston,4.568370881362842,33.0,34.0,29.0,30.0,"{""Central Multi-zone VAV RTU_District_District"": 0.0, ""Central Single-zone RTU_ASHP_ASHP"": 272.4926365035708, ""Central Single-zone RTU_Electric Resistance_DX"": 892.3078069702278, ""Central Single-zone RTU_Furnace_DX"": 4799.965631348052}"
Food Service,FullServiceRestaurant,Central Single-zone RTU_Electric Resistance_DX,16246.423130354995,892.3078069702278,3134.0922581863447,993.8935819692614,3349.1672900987724,6683.96861388169,"{""0-5"": 0.0, ""101-150"": 0.0, ""11-15"": 13.216862065347632, ""151-200"": 0.0, ""16-20"": 33.09002423658696, ""200+"": 0.0, ""21-30"": 83.96113842350577, ""31-50"": 563.164226582983, ""51-75"": 114.78663553067108, ""6-10"": 0.0, ""76-100"": 84.08892013113338}",Livingston,14.959644616019219,33.0,34.0,29.0,30.0,"{""Central Multi-zone VAV RTU_District_District"": 0.0, ""Central Single-zone RTU_ASHP_ASHP"": 272.4926365035708, ""Central Single-zone RTU_Electric Resistance_DX"": 892.3078069702278, ""Central Single-zone RTU_Furnace_DX"": 4799.965631348052}"
